yane羽毛 嗯？封面gkd[doge]
郁雯汐 摩登：其实我是脱出型NT哒！

鸾の叶 三连了三连了[打call]

SCP后勤组 怎么说吧合金弹头是个反战游戏[doge]

这是借鉴不是抄 企鹅？那没事了，宝可梦刚祸害完

黡夜 封面大图交出来！

鬼才_阿怪 封面提取：https://b23.tv/jKWtMb

烧伯开 能讲讲4399的《二战前线》这个同人游戏吗？

ew8 俺有个问题，俺玩6带打死&#34;金星人&#34;母体，他自爆后主角掉下去，但是我记得是摩登开着火星人圆球飞艇救得我。。。为什么这里变成火星人了？还有啥触发条件吗？不过我记得我当时金门大桥的时候没有火星人拽着我飞倒是。。。

孤无痕 天美？合金暖暖？

机智的小300 up主知道有火星人剧情的拳皇漫画是哪部吗?我小时候看过一部有火星人剧情的拳皇漫画，现在怎么找都找不到了，如果up主看到能否告知一下，俩个硬币求看到[doge]

兔玖鸭 封面求私，三连敬上。谢谢

logo热诺 爱了

大汉刘氏 游戏也好玩，音乐也好听

oxgen123 摩登才是正义，主角团是反派

czm009-173 外星人也好这口[doge][doge]

月下敲门僧 up讲解真不错，诙谐小幽默[支持]

墨轩佩兰゛ 越南战役的来集合了[鼓掌]

1919810_bili 就网易那个优化你们敢说做的比腾讯好？本人也讨厌腾讯氪金，但起码人家优化做好了。就那第五人格，苹果6s烫到直接爆炸

超级烈焰战车 合金弹头有卡牌游戏（合金弹头，进攻）很好玩，我玩了快几年了，网游，现在还在正常运转跟新

Destiny-Dio 对哦，合金弹头和拳皇是在同一个世界线里的[笑哭]

Real-GolDenSiR (｀・ω・´)

不要留着眼泪说再见 玩过hhh，当时一直没注意过剧情[笑哭]

91癋先生 三代真的是我的童年阴影，最早接触的就是三代，那时候还是在我爸的平板上玩的，那时候是真的怕那个独眼怪和变丧尸[囧]

萌兔丨萌 手游开头的SCV1开炮怎么看都像炸膛[疑惑][疑惑]

我脸好白 合金蛋疼[滑稽]

幽幽子灬大吃货 就很棒

蒼海の牙 @K血[doge]

我快乐地白飘 裤子好惨

闪电螺旋狗 上飞船的小兵一个雷炸不坏箱子[抠鼻]

周鬆弛 越南战争

东方子守碑 哇，好怀念。小时候下过一个合集版用金手指硬生生磨4完了部。233

我是你爸爸23hz 合金弹头初代不是nanza的吗

Key社的小迷弟 洛克人:wily tm又跑了合金弹头:魔登tm又跑了

狗飞不吃狗 3d没必要

式首一斩 来力

jockZzz Vr

夜梦晨醒BOY 不是有卡牌游戏了吗？ 合金弹头 进攻

把你号给老子交了 剧情就是两个老色批天天续命看妹子被蜗牛融化[doge][doge][doge]

Bili_415562 好Q弹

四季长春世界核平 封面是什么啊[蛆音娘_滑稽]有某站ID可以去康康嘛？[蛆音娘_卖萌]

未-明 看到有人说亿币通关，我只想说我当时是在酒店里面玩，叫工作人过来他就会插钥匙一扭，直接调到99条命[doge][doge]

不优雅的萨萨 封面，秋梨膏

桃枝梦哲 看到一半封面还因为是OO[笑哭]

市民也䬟 真就合金拳皇一个世界观呗

H先生归来 小兵开飞机撞向飞碟泪目，反叛军也是有好人的

白天云上风吹飘雪 封面是纯哥被绑双手[热词系列_妙啊]

bilibili成濑澪 我感觉3最好玩

ぐ妖梦 我不知道发生了什么 我只知道我可以大开杀戒了

反向预言 说起来。。火星之根和那个入侵者的母体。。好像有本子来着[吃瓜]

你的西伯利亚大尾巴狼 青回

阿兔吃鱼不吃瓜 也不知道是在玩游戏还是在玩工作室

冰蛙大法好 id :winad

午饭很无辜 想说点骚话但又不知道说什么[热词系列_泪目][热词系列_吹爆][热词系列_三连]

佛呕-否_标特否的否 小时候一直以为，老头拿出来的是防弹衣，现在才发现那是大裤衩[笑哭][笑哭][笑哭]

安娜·雷姆莉 3d华其实倒是没什么，但是普通士兵有血条不能忍。

夜弥散华 我的童年已经被这一代人摧残殆尽了。

列是雾都 up你的这个资料收集得不全，钢铁蛞蝓还有两作掌机，是前传，早在摩登叛变前，正规军就有一个将军开始拿钢铁蛞蝓的原型机跟火星人交易了。

---3--2--1--- 合金弹头系列真的是神 真的太有趣了

Ctro233 在我看来，政府绝对是有大问题的，反叛军作为叛军能征到足够的兵员，能把政府军打到只能看几个特种兵反叛，所以在我看来，x军应该叫革命军，而主角一方只是镇压革命者的

应激性创伤 恶臭天美。

看得见的隐形人S 纯哥，咱要不稍微打磨打磨文案，剧情党觉得接受不能啊，这剧情概括的就好像以前有个冥王叫哈迪斯然后他被星矢打死了。再剪剪剧情，让我们这些只知道杀杀杀的街机小白明白明白，以前玩的街机也是有剧情的，主角也是值得欣赏的呗[tv_doge]

此方の你与彼方の我 走救老头去[吃瓜]

爬虫Cyf 和金弹头永远的神

叫我酱油啊丶 封面搞颜色？？？？离谱！

思疯莫矣 纯哥在之前的视频说这期会在27号之前更新，结果晚了两天，这个仇我记上了[tv_思考]

剑愁锋 4399上玩的[doge]

蔚唯山 我一直记得那个会放气功的老头

我是大眼萌妹哦 我很确定，我是被封面吸引进来的[doge]

轻是也 封面有故事吗有的话细说[doge]

星关北 交出封面[doge]

